lot_number,announce_id,announce_name,customer,lot_id,lot_name,quantity,amount_tg,trade_method,status
"87371189-ЗЦП117313434-1 Приобретение офисной бумаги с доставкой.Заказчик:КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской областиБумага офсетнаяИстория4001 080 000.00Запрос ценовых предложенийОпубликован",17313434,17313434-1 Приобретение офисной бумаги с доставкой.,"КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской области",42555491,Бумага офсетная,400.0,1080000.0,Запрос ценовых предложений,Опубликован
"87357989-ЗЦП117313427-1 Закуп наушники согласно технической характеристикеЗаказчик:ГКП на ПХВ ""Областная станция скорой медицинской помощи"" управления здравоохранения Туркестанской областиНаушникиИстория291 044 000.00Запрос ценовых предложенийОпубликован",17313427,17313427-1 Закуп наушники согласно технической характеристике,"ГКП на ПХВ ""Областная станция скорой медицинской помощи"" управления здравоохранения Туркестанской области",42555466,Наушники,29.0,1044000.0,Запрос ценовых предложений,Опубликован
"42555462-ОЛ-ЗЦП117313426-1 Приобретение хозяйственных материаловЗаказчик:КГУ ""Средняя школа имени Ж.Чайжунусова"" отдела образования Кокпектинского района управления образования области АбайПриобретение хозяйственных материаловИстория10808 700.00Запрос ценовых предложенийОпубликован",17313426,17313426-1 Приобретение хозяйственных материалов,"КГУ ""Средняя школа имени Ж.Чайжунусова"" отдела образования Кокпектинского района управления образования области Абай",42555462,Приобретение хозяйственных материалов,10.0,808700.0,Запрос ценовых предложений,Опубликован
"87244424-ЗЦП217313425-1 Заправка кислородных балонов 10 шт.Заказчик:КГП на ПХВ ""Кокпектинская районная больница"" управления здравоохранения области АбайУслуги по заправке техническими газами/жидкостямиИстория150 000.00Запрос ценовых предложенийОпубликован",17313425,17313425-1 Заправка кислородных балонов 10 шт.,"КГП на ПХВ ""Кокпектинская районная больница"" управления здравоохранения области Абай",42555460,Услуги по заправке техническими газами/жидкостями,1.0,50000.0,Запрос ценовых предложений,Опубликован
"83343795-ОИ217313424-1 заправка картреджей 33 штукиЗаказчик:КГУ ""Центр активного долголетия"" отдела занятости и социальных программ города Павлодара, акимата города ПавлодараУслуги по заправке картриджейИстория153 000.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17313424,17313424-1 заправка картреджей 33 штуки,"КГУ ""Центр активного долголетия"" отдела занятости и социальных программ города Павлодара, акимата города Павлодара",42555459,Услуги по заправке картриджей,1.0,53000.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"82461566-ОИ417313423-1 Услуги по страховке служебного автомобиляЗаказчик:ГУ ""Аппарат Акима Карабутинского сельского округа района Мақаншы области Абай""Услуги по страхованию гражданско-правовой ответственности (кроме страхования гражданско-правовой ответственности владельцев автомобильного, воздушного, водного транспорта)История131 210.00Из одного источника по несостоявшимся закупкамОпубликован",17313423,17313423-1 Услуги по страховке служебного автомобиля,"ГУ ""Аппарат Акима Карабутинского сельского округа района Мақаншы области Абай""",42555457,"Услуги по страхованию гражданско-правовой ответственности (кроме страхования гражданско-правовой ответственности владельцев автомобильного, воздушного, водного транспорта)",1.0,31210.0,Из одного источника по несостоявшимся закупкам,Опубликован
"84073387-ЗЦП117313421-1 приобретение дров береза чуркамиЗаказчик:КГУ ""Аппарат акима Интернационального сельского округа Тимирязевского района Северо-Казахстанской области""ДроваИстория5125 000.00Запрос ценовых предложенийОпубликован",17313421,17313421-1 приобретение дров береза чурками,"КГУ ""Аппарат акима Интернационального сельского округа Тимирязевского района Северо-Казахстанской области""",42555455,Дрова,5.0,125000.0,Запрос ценовых предложений,Опубликован
"42555451-ОЛ-ЗЦП117313417-1 Приобретение канцелярских и компьютерных товаров с поставкой. ПРОСИМ ВНИМАТЕЛЬНО ОЗНАКОМИТЬСЯ С ТЕХНИЧЕСКОЙ СПЕЦИФИКАЦИЕЙ!Заказчик:КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской областиКГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской областиИстория112 325 000.00Запрос ценовых предложенийОпубликован",17313417,17313417-1 Приобретение канцелярских и компьютерных товаров с поставкой. ПРОСИМ ВНИМАТЕЛЬНО ОЗНАКОМИТЬСЯ С ТЕХНИЧЕСКОЙ СПЕЦИФИКАЦИЕЙ!,"КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской области",42555451,"КГУ ""Общеобразовательная школа №20 имени Р.Исетова"" отдела образования города Туркестан управления образования Туркестанской области",11.0,2325000.0,Запрос ценовых предложений,Опубликован
"83963240-ЗЦП217313418-1 Услуги по страховке служебного автомобиляЗаказчик:Государственное учреждение ""Байганинский районный отдел внутренней политики""Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспортаИстория123 982.75Запрос ценовых предложенийОпубликован",17313418,17313418-1 Услуги по страховке служебного автомобиля,"Государственное учреждение ""Байганинский районный отдел внутренней политики""",42555450,Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта,1.0,23982.75,Запрос ценовых предложений,Опубликован
42555427-ОЛ-ЗЦП117313414-1 Приобретение запасных частейЗаказчик:Чингирлауское коммунальное государственное учреждение по охране лесов и животного мира Управления природных ресурсов и регулирования природопользования акимата ЗКОзапасные части Плуг  ПЛНИстория7295 400.00Запрос ценовых предложенийОпубликован,17313414,17313414-1 Приобретение запасных частей,Чингирлауское коммунальное государственное учреждение по охране лесов и животного мира Управления природных ресурсов и регулирования природопользования акимата ЗКО,42555427,запасные части Плуг  ПЛН,7.0,295400.0,Запрос ценовых предложений,Опубликован
