tender_id,category,customer,customer_bin,trade_method,publish_date,end_date,window_days,n_bidders,winner_supplier,winner_bin,amount_tg,status,is_captured_ground_truth
400000,Транспортные услуги,Заказчик_0174,628964171749,Электронный аукцион,2023-03-22,2023-04-03,12,3,Поставщик_0254,249692497310,1312686.71,Завершен,False
400001,Продукты питания,Заказчик_0083,349806593311,Электронный аукцион,2024-11-27,2024-12-09,12,3,Поставщик_0650,226837630452,540845.62,Завершен,False
400002,Медицинское оборудование,Заказчик_0053,105295618485,Запрос ценовых предложений,2023-12-29,2024-01-09,11,3,Поставщик_0560,600427856280,8455262.34,Завершен,False
400003,Ремонт зданий,Заказчик_0192,709445965738,Электронный аукцион,2025-01-10,2025-01-23,13,5,Поставщик_0176,636150818240,5800081.51,Итоги подведены,False
400004,Стройматериалы,Заказчик_0085,228319081121,Электронный аукцион,2024-05-06,2024-05-17,11,5,Поставщик_0551,195769373384,2692103.52,Итоги подведены,False
400005,Канцелярские товары,Заказчик_0081,893419340814,Из одного источника по несостоявшимся закупкам,2023-05-19,2023-05-25,6,3,Поставщик_0103,081878752772,317450.86,Итоги подведены,False
400006,Стройматериалы,Заказчик_0163,155720026558,Электронный аукцион,2023-03-29,2023-04-10,12,5,Поставщик_0636,644148931402,2699931.15,Завершен,False
400007,Медицинское оборудование,Заказчик_0193,560763609637,Электронный аукцион,2023-10-09,2023-10-16,7,6,Поставщик_0271,917418753163,7029060.15,Итоги подведены,False
400008,Охранные услуги,Заказчик_0089,395460786772,Электронный аукцион,2024-08-11,2024-08-20,9,5,Поставщик_0448,231433408630,1715408.92,Итоги подведены,False
400009,Медицинское оборудование,Заказчик_0043,200593676791,Электронный аукцион,2024-02-28,2024-03-13,14,3,Поставщик_0114,566757091730,6916605.48,Завершен,False
400010,IT-услуги,Заказчик_0129,967512170538,Запрос ценовых предложений,2025-04-05,2025-04-15,10,6,Поставщик_0573,786259204650,4278390.09,Завершен,False
400011,Клининг,Заказчик_0137,362813537454,Открытый конкурс,2023-09-22,2023-10-06,14,3,Поставщик_0633,682099770995,621654.62,Завершен,False
400012,Канцелярские товары,Заказчик_0023,152672624980,Открытый конкурс,2024-03-22,2024-03-27,5,3,Поставщик_0612,305653841439,261573.74,Итоги подведены,False
400013,Ремонт зданий,Заказчик_0067,415355431652,Открытый конкурс,2024-02-06,2024-02-13,7,7,Поставщик_0348,238397186701,5508362.34,Завершен,False
400014,Ремонт зданий,Заказчик_0034,638762102480,Из одного источника,2024-02-07,2024-02-16,9,2,Поставщик_0106,115345152371,5968829.35,Итоги подведены,False
400015,IT-услуги,Заказчик_0157,319262117645,Запрос ценовых предложений,2025-03-23,2025-04-05,13,7,Поставщик_0084,986105712292,4769759.25,Завершен,False
400016,Канцелярские товары,Заказчик_0113,268518827291,Из одного источника по несостоявшимся закупкам,2023-06-11,2023-06-19,8,2,Поставщик_0251,377751361568,299073.34,Завершен,False
400017,IT-услуги,Заказчик_0006,836394225258,Электронный аукцион,2024-03-20,2024-03-26,6,4,Поставщик_0711,363987954794,5448199.02,Отменен,False
400018,Канцелярские товары,Заказчик_0057,045227746976,Электронный аукцион,2024-02-25,2024-03-10,14,1,Поставщик_0221,526783920968,291803.02,Завершен,False
400019,IT-услуги,Заказчик_0062,298543394596,Из одного источника,2024-12-05,2024-12-13,8,3,Поставщик_0626,618076893639,4900840.5,Завершен,False
400020,Охранные услуги,Заказчик_0106,132435760062,Запрос ценовых предложений,2023-09-14,2023-09-25,11,4,Поставщик_0581,235737948478,2036120.05,Завершен,False
